PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,YEAR
Sam Cassell,MIN,35,6-3,185,Florida State,USA,1993,1,24,59,13.5,2.7,5.1,4,1.70%,8.30%,25.50%,52.90%,33.60%,2004
Samaki Walker,WAS,29,6-9,250,Louisville,USA,1996,1,9,14,1.7,1.3,0.3,-4.8,6.00%,7.80%,13.10%,37.10%,4.50%,2004
Samuel Dalembert,PHI,25,6-11,250,Seton Hall,Haiti,2001,1,26,72,8.2,7.5,0.5,1.4,10.70%,19.50%,16.00%,54.30%,3.10%,2004
Sasha Pavlovic,CLE,21,6-7,210,None,Montenegro,2003,1,19,65,4.8,1.1,0.8,0.1,1.70%,7.10%,17.80%,51.60%,9.10%,2004
Sasha Vujacic,LAL,21,6-7,193,None,Slovenia,2004,1,27,35,2.9,1.8,1.5,1.6,3.00%,12.60%,14.90%,40.30%,18.50%,2004
Scot Pollard,IND,30,6-11,265,Kansas,USA,1997,1,19,49,3.9,4.2,0.4,7,10.70%,15.20%,12.00%,50.60%,3.40%,2004
Scott Padgett,HOU,29,6-9,240,Kentucky,USA,1999,1,28,66,4.2,2.8,0.8,11.2,5.00%,14.30%,13.50%,54.90%,9.60%,2004
Scott Williams,CLE,37,6-10,260,North Carolina,USA,Undrafted,Undrafted,Undrafted,19,1.7,1.6,0.4,-9.5,9.80%,11.70%,14.90%,36.00%,8.40%,2004
Sean Marks,SAS,29,6-10,250,California,New Zealand,1998,2,44,23,3.3,2.4,0.3,-6.7,6.60%,14.70%,19.10%,41.20%,6.50%,2004
Sebastian Telfair,POR,20,6-0,160,None,USA,2004,1,13,68,6.8,1.5,3.3,-6.6,0.80%,6.90%,20.80%,47.10%,28.00%,2004
Shandon Anderson,MIA,31,6-6,210,Georgia,USA,1996,2,54,66,3.9,2.9,1.1,7.6,3.90%,12.30%,11.70%,51.80%,9.10%,2004
Shane Battier,MEM,26,6-8,220,Duke,USA,2001,1,6,80,9.9,5.2,1.6,6.9,6.60%,10.50%,14.50%,55.50%,8.10%,2004
Shaquille O'Neal,MIA,33,7-1,325,Louisiana State,USA,1992,1,1,73,22.9,10.4,2.7,10,11.20%,19.70%,30.10%,58.30%,14.90%,2004
Shareef Abdur-Rahim,POR,28,6-9,245,California,USA,1996,1,3,54,16.8,7.3,2.1,-5.7,6.90%,14.30%,21.60%,58.10%,10.60%,2004
Shaun Livingston,LAC,19,6-7,182,None,USA,2004,1,4,30,7.4,3,5,-1.3,3.00%,8.20%,17.20%,46.10%,28.70%,2004
Shawn Bradley,DAL,33,7-6,275,Brigham Young,USA,1993,1,2,77,2.7,2.8,0.2,11.7,8.30%,16.10%,12.30%,49.40%,2.40%,2004
Shawn Marion,PHX,27,6-7,228,UNLV,USA,1999,1,9,81,19.4,11.3,1.9,9.9,7.60%,19.70%,20.80%,55.60%,7.20%,2004
Slava Medvedenko,LAL,26,6-10,250,None,Ukraine,Undrafted,Undrafted,Undrafted,43,3.8,1.8,0.3,-2.7,7.10%,11.10%,18.70%,49.00%,5.20%,2004
Smush Parker,PHX,24,6-4,180,Fordham,USA,Undrafted,Undrafted,Undrafted,16,3,0.8,0.9,-26.5,2.90%,6.00%,21.50%,49.30%,25.40%,2004
Speedy Claxton,NOH,27,5-11,170,Hofstra,USA,2000,1,20,62,11.5,3,6,-5.2,1.90%,8.40%,19.70%,49.30%,33.00%,2004
Stacey Augmon,ORL,36,6-8,203,UNLV,USA,1991,1,9,55,3.5,1.8,0.7,-5,6.40%,8.00%,15.00%,48.00%,8.40%,2004
Stephen Jackson,IND,27,6-8,218,Butler C.C. (KS),USA,1997,2,42,51,18.7,4.9,2.3,4.2,2.60%,12.00%,27.00%,51.80%,13.30%,2004
Stephon Marbury,NYK,28,6-2,200,Georgia Tech,USA,1996,1,4,82,21.7,3,8.1,-0.7,1.50%,6.40%,24.30%,57.50%,34.40%,2004
Steve Blake,WAS,25,6-3,172,Maryland,USA,2003,2,38,44,4.3,1.6,1.6,-8.1,2.60%,8.40%,16.50%,46.80%,18.00%,2004
Steve Francis,ORL,28,6-3,200,Maryland,USA,1999,1,2,78,21.3,5.8,7,-0.7,4.40%,10.70%,28.00%,52.10%,31.50%,2004
Steve Nash,PHX,31,6-3,195,Santa Clara,Canada,1996,1,15,75,15.5,3.3,11.5,12.9,2.30%,6.90%,20.10%,60.60%,46.00%,2004
Steven Hunter,PHX,23,7-0,240,DePaul,USA,2001,1,15,76,4.6,3,0.2,0.1,8.90%,10.70%,13.50%,59.60%,1.80%,2004
Steven Smith,MIA,36,6-8,221,Michigan State,USA,1991,1,5,50,6.3,1.3,1.4,-4.3,1.90%,7.40%,18.10%,55.40%,16.10%,2004
Stromile Swift,MEM,25,6-9,230,Louisiana State,USA,2000,1,2,60,10.1,4.6,0.7,1.9,7.70%,14.40%,24.40%,51.70%,6.30%,2004
Tamar Slay,CHA,25,6-8,220,Marshall,USA,2002,2,53,8,3.5,1.8,0.4,-14.6,6.10%,14.30%,24.70%,35.10%,6.70%,2004
Tayshaun Prince,DET,25,6-9,215,Kentucky,USA,2002,1,23,82,14.7,5.3,3,7.8,4.50%,10.00%,18.50%,55.60%,14.00%,2004
Theo Ratliff,POR,32,6-10,235,Wyoming,USA,1995,1,18,63,4.8,5.3,0.5,-2.2,6.80%,12.70%,9.80%,50.00%,3.00%,2004
Theron Smith,CHA,24,6-8,225,Ball State,USA,Undrafted,Undrafted,Undrafted,33,3.2,3.5,0.8,-15.8,6.90%,15.90%,14.60%,36.70%,9.40%,2004
Tierre Brown,LAL,26,6-2,189,McNeese State,USA,Undrafted,Undrafted,Undrafted,76,4.4,1.2,2,-4.4,2.00%,6.90%,19.30%,43.70%,24.80%,2004
Tim Duncan,SAS,29,6-11,260,Wake Forest,US Virgin Isl...,1997,1,1,66,20.3,11.1,2.7,16.3,9.90%,24.40%,28.90%,54.00%,15.10%,2004
Tim Thomas,NYK,28,6-10,240,Villanova,USA,1997,1,7,71,12,3.3,1.5,-4.8,2.40%,10.50%,21.10%,53.60%,9.30%,2004
Tom Gugliotta,ATL,35,6-10,250,North Carolina State,USA,1992,1,6,47,5.1,4.1,1.4,-12,6.00%,15.30%,14.80%,46.00%,11.50%,2004
Toni Kukoc,MIL,36,6-11,235,None,Croatia,1990,2,29,53,5.6,3,3,0.1,3.00%,11.80%,14.30%,52.30%,22.80%,2004
Tony Allen,BOS,23,6-4,213,Oklahoma State,USA,2004,1,25,77,6.4,2.9,0.8,6.2,7.00%,11.00%,18.30%,54.20%,8.00%,2004
Tony Battie,ORL,29,6-11,240,Texas Tech,USA,1997,1,5,81,4.9,5.6,0.5,-3.1,5.80%,17.50%,11.00%,49.80%,3.30%,2004
Tony Bobbitt,LAL,25,6-4,190,Cincinnati,USA,Undrafted,Undrafted,Undrafted,2,2.5,1.5,0,-8.5,0.00%,15.00%,18.50%,50.00%,0.00%,2004
Tony Delk,ATL,31,6-2,189,Kentucky,USA,1996,1,16,56,11.9,2.3,1.9,-8.2,2.00%,8.40%,22.80%,51.20%,13.80%,2004
Tony Massenburg,SAS,37,6-9,250,Maryland,USA,1990,2,43,61,3.2,2.7,0.2,-5.2,8.00%,17.10%,16.50%,46.70%,3.50%,2004
Tony Parker,SAS,23,6-2,177,None,France,2001,1,28,80,16.6,3.7,6.1,9.3,1.80%,9.50%,24.70%,52.80%,32.30%,2004
Torraye Braggs,HOU,29,6-8,245,Xavier,USA,1998,2,57,7,0.9,1.7,0,-23.1,31.80%,23.80%,18.40%,42.90%,0.00%,2004
Tracy McGrady,HOU,26,6-8,210,None,USA,1997,1,9,78,25.7,6.2,5.7,4.6,2.30%,13.10%,30.40%,52.60%,27.60%,2004
Travis Best,NJN,32,5-11,182,Georgia Tech,USA,1995,1,23,76,6.8,1.4,1.9,-6.8,1.30%,6.60%,18.00%,50.80%,18.30%,2004
Travis Outlaw,POR,20,6-9,210,None,USA,2003,1,23,59,5.4,2.1,0.6,-6.6,5.50%,9.60%,19.20%,53.20%,7.80%,2004
Tremaine Fowlkes,IND,29,6-8,220,Fresno State,USA,1998,2,54,8,2.4,1,0,-5.3,7.00%,10.60%,22.50%,53.10%,0.00%,2004
Trenton Hassell,MIN,26,6-5,200,Austin Peay,USA,2001,2,29,82,6.6,2.7,1.6,-0.9,4.00%,6.70%,13.00%,51.50%,9.70%,2004
Trevor Ariza,NYK,20,6-8,200,UCLA,USA,2004,2,43,80,5.9,3,1.1,-1,6.70%,11.40%,17.50%,50.30%,10.10%,2004
Troy Hudson,MIN,29,6-1,170,Southern Illinois,USA,Undrafted,Undrafted,Undrafted,79,8.7,1.3,3.6,-0.2,1.20%,4.90%,21.40%,49.10%,26.50%,2004
Troy Murphy,GSW,25,6-11,245,Notre Dame,USA,2001,1,14,70,15.4,10.8,1.4,-4.3,9.70%,21.50%,21.80%,49.50%,6.80%,2004
Tyronn Lue,ATL,28,6-0,178,Nebraska,USA,1998,1,23,70,11.2,2.1,4.6,-11.5,0.70%,7.30%,18.70%,54.20%,27.50%,2004
Tyson Chandler,CHI,22,7-1,235,None,USA,2001,1,2,80,8,9.7,0.8,3.1,11.70%,22.40%,13.70%,56.50%,4.90%,2004
Udonis Haslem,MIA,25,6-8,228,Florida,USA,Undrafted,Undrafted,Undrafted,80,10.9,9.1,1.4,8.2,9.80%,18.20%,14.60%,58.80%,6.10%,2004
Viktor Khryapa,POR,22,6-9,210,None,Russia,2004,1,22,32,4.2,3.4,0.8,-10.9,5.30%,14.70%,14.80%,47.40%,8.00%,2004
Vin Baker,HOU,33,6-11,240,Hartford,USA,1993,1,8,27,1.3,1.4,0.4,-18.9,8.20%,11.40%,13.90%,35.40%,7.90%,2004
Vince Carter,NJN,28,6-6,220,North Carolina,USA,1998,1,5,77,24.5,5.2,4.2,0.5,3.70%,11.00%,30.50%,54.10%,23.40%,2004
Vitaly Potapenko,SEA,30,6-10,285,Wright State,Ukraine,1996,1,12,33,3.5,2.4,0.3,-3.3,9.30%,16.40%,15.50%,58.10%,4.50%,2004
Vlade Divac,LAL,37,7-1,260,None,Serbia,1989,1,26,15,2.3,2.1,1.3,-8.7,12.30%,11.30%,16.00%,46.90%,24.70%,2004
Vladimir Radmanovic,SEA,24,6-10,234,None,Serbia,2001,1,12,63,11.8,4.6,1.4,8,3.00%,13.30%,18.80%,53.40%,7.60%,2004
Voshon Lenard,DEN,32,6-4,205,Minnesota,USA,1994,2,46,3,9.7,2,2,2.5,0.00%,12.80%,22.10%,49.10%,15.00%,2004
Wally Szczerbiak,MIN,28,6-7,244,Miami (Ohio),USA,1999,1,6,81,15.5,3.7,2.4,1.7,3.40%,8.40%,20.90%,59.50%,12.50%,2004
Walter McCarty,PHX,31,6-10,230,Kentucky,USA,1996,1,19,72,3.6,1.9,0.5,-2,3.30%,12.10%,13.80%,52.50%,6.70%,2004
Wang Zhi-zhi,MIA,27,7-1,284,None,China,1999,2,36,20,2.2,0.9,0.3,-11.4,6.70%,11.80%,22.20%,52.10%,10.00%,2004
Wesley Person,DEN,34,6-6,200,Auburn,USA,1994,1,23,41,6.4,2,1,-1.4,0.40%,11.70%,16.20%,57.00%,9.40%,2004
Willie Green,PHI,23,6-2,201,Detroit,USA,2003,2,41,57,7.7,2.3,1.8,-5.2,2.00%,10.60%,22.60%,45.70%,17.20%,2004
Yao Ming,HOU,24,7-6,310,None,China,2002,1,1,80,18.3,8.4,0.8,2.4,9.10%,19.30%,26.10%,61.40%,4.80%,2004
Yuta Tabuse,PHX,24,5-9,165,Brigham Young-Hawaii,USA,Undrafted,Undrafted,Undrafted,4,1.8,1,0.8,-6.9,8.70%,10.00%,17.60%,45.10%,25.00%,2004
Zach Randolph,POR,23,6-9,253,Michigan State,USA,2001,1,19,46,18.9,9.6,1.9,-2.8,8.90%,18.70%,27.30%,51.10%,10.70%,2004
Zarko Cabarkapa,GSW,24,6-11,225,None,Serbia,2003,1,17,40,6,2.6,0.6,4,7.00%,14.30%,21.40%,57.90%,9.30%,2004
Zaza Pachulia,MIL,21,6-11,265,None,Georgia,2003,2,42,74,6.2,5.1,0.8,-0.2,10.10%,18.90%,16.60%,52.60%,7.10%,2004
Zeljko Rebraca,LAC,33,7-0,265,None,Serbia,1994,2,54,58,5.8,3.2,0.4,0.3,5.80%,14.30%,16.00%,62.50%,4.90%,2004
Zendon Hamilton,MIL,30,6-11,254,St. John's,USA,Undrafted,Undrafted,Undrafted,16,3.2,2.6,0.4,-10.9,11.90%,16.80%,18.90%,48.00%,6.30%,2004
Zoran Planinic,NJN,22,6-7,200,None,Croatia,2003,1,22,43,5,1.6,1,-4.2,3.80%,10.20%,21.90%,53.40%,18.50%,2004
Zydrunas Ilgauskas,CLE,30,7-3,260,None,Lithuania,1996,1,20,78,16.9,8.6,1.3,2.7,11.80%,14.90%,24.20%,55.00%,6.50%,2004
Aaron McKie,LAL,33,6-5,209,Temple,USA,1994,1,17,14,0.5,1.4,0.8,-10.3,2.60%,14.30%,5.80%,27.20%,14.70%,2005
Aaron Miles,GSW,23,6-1,190,Kansas,USA,Undrafted,Undrafted,Undrafted,19,0.8,0.7,1.3,-1.2,0.00%,13.60%,11.00%,40.50%,30.80%,2005
Aaron Williams,NOK,34,6-9,235,Xavier,USA,Undrafted,Undrafted,Undrafted,48,4.6,3.8,0.4,-2.6,8.50%,16.00%,13.50%,55.10%,3.60%,2005
Adonal Foyle,GSW,31,6-10,270,Colgate,St. Vincent &...,1997,1,8,77,4.5,5.5,0.4,0.2,7.60%,14.80%,10.00%,52.40%,2.80%,2005
Adrian Griffin,DAL,31,6-5,230,Seton Hall,USA,Undrafted,Undrafted,Undrafted,52,4.6,4.4,1.7,8.6,6.70%,13.30%,9.90%,52.10%,10.70%,2005
Al Harrington,ATL,26,6-9,245,None,USA,1998,1,25,76,18.6,6.9,3.1,-6.5,5.00%,15.70%,25.70%,51.30%,15.50%,2005
Al Jefferson,BOS,21,6-10,265,None,USA,2004,1,15,59,7.9,5.1,0.5,-4.5,9.90%,19.80%,21.50%,53.00%,5.50%,2005
Alan Anderson,CHA,23,6-6,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,36,5.8,1.9,0.9,1.2,3.90%,8.90%,17.80%,52.00%,9.30%,2005
Alan Henderson,CLE,33,6-9,240,Indiana,USA,1995,1,16,51,2.5,2.7,0.2,-3.6,11.30%,14.80%,11.40%,56.40%,3.20%,2005
Alex Acker,DET,23,6-5,185,Pepperdine,USA,2005,2,60,5,1.8,1,0.8,-44.5,2.50%,12.10%,21.50%,28.10%,19.00%,2005
Alex Scales,SAS,27,6-4,195,Oregon,USA,Undrafted,Undrafted,Undrafted,1,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,2005
Allen Iverson,PHI,31,6-0,165,Georgetown,USA,1996,1,1,72,33,3.2,7.4,0.1,1.50%,6.20%,35.00%,54.30%,33.10%,2005
Alonzo Mourning,MIA,36,6-10,261,Georgetown,USA,1992,1,2,65,7.8,5.5,0.2,9.5,10.10%,17.00%,17.10%,61.50%,1.40%,2005
Alvin Williams,TOR,31,6-5,195,Villanova,USA,1997,2,47,1,1,3,0,-27.7,0.00%,27.30%,17.40%,12.90%,0.00%,2005
Amar'e Stoudemire,PHX,23,6-10,245,None,USA,2002,1,9,3,8.7,5.3,0.7,-0.9,10.70%,19.20%,27.40%,42.00%,6.30%,2005
Amir Johnson,DET,19,6-9,210,No College,USA,2005,2,56,3,6.7,1.3,1,-25.3,7.70%,2.40%,16.80%,85.00%,12.50%,2005
Anderson Varejao,CLE,23,6-10,240,None,Brazil,2004,2,30,48,4.6,4.9,0.4,6.1,10.10%,21.40%,13.30%,54.10%,4.00%,2005
Andray Blatche,WAS,19,6-11,235,None,USA,2005,2,49,29,2.2,1.3,0.3,-3.2,6.90%,15.10%,20.70%,45.00%,10.30%,2005
Andre Barrett,TOR,24,5-10,173,Seton Hall,USA,Undrafted,Undrafted,Undrafted,19,4.6,1.3,2.7,-4.2,2.80%,6.00%,18.50%,39.80%,28.00%,2005
Andre Iguodala,PHI,22,6-6,207,Arizona,USA,2004,1,9,82,12.3,5.9,3.1,0.5,4.00%,12.00%,14.50%,59.80%,12.60%,2005
Andre Miller,DEN,30,6-2,205,Utah,USA,1999,1,8,82,13.7,4.3,8.2,2.5,3.40%,8.80%,20.20%,53.20%,35.50%,2005
Andre Owens,UTA,25,6-4,200,Houston,USA,Undrafted,Undrafted,Undrafted,23,3,0.9,0.3,-7.9,4.80%,5.60%,19.80%,42.10%,7.90%,2005
Andrei Kirilenko,UTA,25,6-9,225,None,Russia,1999,1,24,69,15.3,8,4.3,1,6.60%,16.10%,20.50%,55.60%,20.20%,2005
Andres Nocioni,CHI,26,6-7,225,None,Argentina,Undrafted,Undrafted,Undrafted,82,13,6.1,1.4,-1.6,3.90%,18.60%,20.80%,56.70%,9.10%,2005
Andrew Bogut,MIL,21,7-0,245,Utah,Australia,2005,1,1,82,9.4,7,2.3,1.9,8.40%,17.60%,15.70%,55.50%,13.30%,2005
Andrew Bynum,LAL,18,7-0,275,None,USA,2005,1,10,46,1.6,1.7,0.2,-5.1,9.60%,13.80%,14.60%,39.40%,4.40%,2005
Andris Biedrins,GSW,20,6-11,245,None,Latvia,2004,1,11,68,3.8,4.2,0.4,2.4,12.10%,16.60%,11.00%,59.50%,3.80%,2005
Anfernee Hardaway,NYK,34,6-7,215,Memphis,USA,1993,1,3,4,2.5,2.5,2,3.6,0.00%,15.20%,13.50%,33.60%,17.40%,2005
Antawn Jamison,WAS,30,6-9,235,North Carolina,USA,1998,1,4,82,20.5,9.3,1.9,3.3,5.00%,19.30%,23.30%,51.80%,8.30%,2005
Anthony Carter,MIN,31,6-2,195,Hawaii,USA,Undrafted,Undrafted,Undrafted,45,3.3,1.4,2.2,-2.8,1.60%,9.10%,15.70%,46.50%,27.70%,2005
Anthony Goldwire,LAC,34,6-2,182,Houston,USA,1994,2,52,3,0.7,0.3,0.7,-4.7,0.00%,5.00%,17.00%,14.30%,18.20%,2005
Anthony Grundy,ATL,27,6-3,185,North Carolina State,USA,Undrafted,Undrafted,Undrafted,12,4.3,1.4,0.8,11.7,0.90%,13.70%,20.90%,58.90%,13.00%,2005
Anthony Johnson,IND,31,6-3,200,College of Charleston,USA,1997,2,39,75,9.2,2.2,4.3,3.1,1.70%,6.80%,18.10%,52.00%,27.90%,2005
Anthony Roberson,MEM,23,6-2,180,Florida,USA,Undrafted,Undrafted,Undrafted,16,2.2,0.4,0.3,1.4,0.00%,6.00%,18.90%,54.90%,12.20%,2005
Antoine Walker,MIA,29,6-9,245,Kentucky,USA,1996,1,6,82,12.2,5.1,2,2.6,4.90%,14.50%,22.50%,52.40%,12.90%,2005
Antoine Wright,NJN,22,6-7,210,Texas A&M,USA,2005,1,15,39,1.8,0.8,0.3,-8.8,2.40%,6.20%,14.20%,38.60%,5.70%,2005
Antonio Burks,MEM,26,6-0,195,Memphis,USA,2004,2,36,57,2,0.6,1.3,-3,0.80%,6.00%,15.50%,36.70%,24.00%,2005
Antonio Daniels,WAS,31,6-4,205,Bowling Green,USA,1997,1,4,80,9.6,2.2,3.6,2.7,0.90%,7.20%,15.30%,55.00%,19.60%,2005
Antonio Davis,TOR,37,6-9,245,Texas-El Paso,USA,1990,2,45,44,4.9,4.7,0.5,-10.1,9.90%,14.30%,13.30%,47.90%,3.50%,2005
Antonio McDyess,DET,31,6-9,245,Alabama,USA,1995,1,2,82,7.8,5.3,1.1,4.4,9.10%,17.70%,18.30%,52.00%,8.90%,2005
Arvydas Macijauskas,NOK,26,6-4,214,None,Lithuania,Undrafted,Undrafted,Undrafted,19,2.3,0.5,0.3,-2.8,2.30%,6.00%,19.30%,46.20%,7.10%,2005
Austin Croshere,IND,31,6-10,235,Providence,USA,1997,1,12,50,8.2,5.3,1.2,4.1,5.90%,17.80%,15.10%,61.80%,8.90%,2005
Awvee Storey,WAS,29,6-6,225,Arizona State,USA,Undrafted,Undrafted,Undrafted,25,1.7,0.9,0.2,7.8,6.50%,13.50%,19.10%,45.60%,5.90%,2005
Baron Davis,GSW,27,6-3,215,UCLA,USA,1999,1,3,54,17.9,4.4,8.9,0.7,2.20%,9.80%,25.80%,48.90%,41.20%,2005
Ben Gordon,CHI,23,6-3,200,Connecticut,USA,2004,1,3,80,16.9,2.7,3,1.4,1.70%,6.90%,25.80%,53.10%,17.00%,2005
Ben Wallace,DET,31,6-9,240,Virginia Union,USA,Undrafted,Undrafted,Undrafted,82,7.3,11.3,1.9,11.6,10.90%,22.50%,11.30%,50.10%,8.10%,2005
Beno Udrih,SAS,23,6-3,200,None,Slovenia,2004,1,28,55,5,0.9,1.7,3.9,3.30%,6.30%,24.20%,53.90%,27.30%,2005
Bernard Robinson,CHA,25,6-6,210,Michigan,USA,2004,2,45,66,6.4,3.3,1.2,-3.5,4.60%,12.90%,16.40%,49.80%,9.60%,2005
Billy Thomas,WAS,30,6-5,220,Kansas,USA,Undrafted,Undrafted,Undrafted,17,2.2,0.8,0.5,-1.8,3.40%,7.00%,15.00%,46.50%,10.80%,2005
Bo Outlaw,ORL,35,6-8,220,Houston,USA,Undrafted,Undrafted,Undrafted,32,2.3,2.4,0.4,-1.1,9.50%,13.00%,10.30%,61.00%,6.50%,2005
Bobby Jackson,MEM,33,6-1,185,Minnesota,USA,1997,1,23,71,11.4,3.1,2.7,5.4,2.70%,10.90%,24.40%,49.70%,20.50%,2005
Bobby Simmons,MIL,26,6-6,228,DePaul,USA,2001,2,41,75,13.4,4.4,2.3,1,3.80%,10.10%,18.10%,55.90%,11.20%,2005
Boniface Ndong,LAC,28,7-0,205,None,Senegal,Undrafted,Undrafted,Undrafted,23,2.2,1.6,0.3,-14.4,9.60%,16.90%,17.90%,43.90%,8.00%,2005
Bonzi Wells,SAC,29,6-5,210,Ball State,USA,1998,1,11,52,13.6,7.7,2.8,3.8,8.90%,16.10%,21.90%,50.70%,13.90%,2005
Boris Diaw,PHX,24,6-8,215,None,France,2003,1,21,81,13.3,6.9,6.2,8.7,5.80%,13.40%,17.70%,56.40%,24.50%,2005
Bostjan Nachbar,NJN,25,6-9,221,None,Slovenia,2002,1,15,36,4.4,1.7,0.8,0.1,1.60%,11.00%,18.20%,44.80%,9.40%,2005
Bracey Wright,MIN,21,6-3,210,Indiana,USA,2005,2,47,7,8.9,2.6,0.7,-5.7,2.20%,10.90%,22.30%,53.40%,7.20%,2005
Brad Miller,SAC,30,7-0,261,Purdue,USA,Undrafted,Undrafted,Undrafted,79,15,7.8,4.7,3.9,4.40%,17.20%,18.60%,57.60%,20.50%,2005
Brandon Bass,NOK,21,6-8,240,Louisiana State,USA,2005,2,33,29,2.3,2.3,0.1,-7.9,7.30%,18.90%,15.50%,43.40%,2.00%,2005
Brendan Haywood,WAS,26,7-0,263,North Carolina,USA,2001,1,20,79,7.3,5.9,0.6,2.7,10.40%,14.70%,14.80%,54.20%,3.80%,2005
Brent Barry,SAS,34,6-7,210,Oregon State,USA,1995,1,15,74,5.8,2.1,1.7,7.9,2.40%,10.20%,15.20%,58.10%,15.70%,2005
Brevin Knight,CHA,30,5-10,170,Stanford,USA,1997,1,16,69,12.6,3.2,8.8,-4.9,1.40%,8.70%,20.00%,47.80%,41.20%,2005
Brian Cardinal,MEM,29,6-8,245,Purdue,USA,2000,2,44,36,3.4,1.5,0.9,6.7,3.10%,12.10%,17.90%,50.50%,13.60%,2005
Brian Cook,LAL,25,6-9,258,Illinois,USA,2003,1,24,81,7.9,3.4,0.9,4,5.80%,13.00%,18.10%,57.80%,7.90%,2005
Brian Grant,PHX,34,6-9,254,Xavier,USA,1994,1,8,21,2.9,2.7,0.3,-2.4,4.40%,17.90%,13.40%,44.50%,3.90%,2005
Brian Scalabrine,BOS,28,6-9,235,Southern California,USA,2001,2,34,71,2.9,1.6,0.7,-1.5,3.20%,9.60%,12.60%,49.10%,9.00%,2005
Brian Skinner,POR,30,6-9,265,Baylor,USA,1998,1,22,65,2.9,3.5,0.5,-12.2,8.40%,16.10%,11.20%,51.70%,5.60%,2005
Bruce Bowen,SAS,35,6-7,200,California State-Fullerton,USA,Undrafted,Undrafted,Undrafted,82,7.5,3.9,1.5,7.4,1.40%,10.50%,11.00%,54.00%,6.70%,2005
Bryon Russell,DEN,35,6-7,225,Long Beach State,USA,1993,2,45,1,0,1,1,66.7,0.00%,50.00%,0.00%,0.00%,33.30%,2005
CJ Miles,UTA,19,6-6,210,None,USA,2005,2,34,23,3.4,1.7,0.7,-1.3,8.60%,11.00%,21.30%,45.60%,14.20%,2005
Calbert Cheaney,GSW,34,6-7,210,Indiana,USA,1993,1,6,42,2.2,1.5,0.5,-9.1,4.10%,9.70%,12.60%,41.20%,7.40%,2005
Calvin Booth,WAS,30,6-11,250,Penn State,USA,1999,2,35,33,1.4,1.6,0.4,-2.6,7.80%,14.30%,10.30%,45.10%,7.50%,2005
Carlos Arroyo,ORL,26,6-2,202,Florida International,Puerto Rico,Undrafted,Undrafted,Undrafted,77,5.8,1.7,3,2.1,2.90%,8.20%,19.90%,51.20%,32.00%,2005
Carlos Boozer,UTA,24,6-9,258,Duke,USA,2002,2,34,33,16.3,8.6,2.7,-2.7,7.60%,22.70%,23.10%,58.50%,15.40%,2005
Carlos Delfino,DET,23,6-6,230,None,Argentina,2003,1,25,68,3.6,1.7,0.6,-5.8,3.80%,12.50%,18.30%,48.30%,10.50%,2005
Carmelo Anthony,DEN,22,6-8,230,Syracuse,USA,2003,1,3,80,26.5,4.9,2.7,0.6,4.40%,9.20%,31.30%,56.30%,14.10%,2005
Caron Butler,WAS,26,6-7,228,Connecticut,USA,2002,1,10,75,17.6,6.2,2.5,1.8,4.20%,13.90%,22.80%,53.50%,12.00%,2005
Channing Frye,NYK,23,6-11,248,Arizona,USA,2005,1,8,65,12.3,5.8,0.8,-1,8.90%,15.90%,23.30%,54.10%,6.60%,2005
Charles Smith,DEN,30,6-4,200,New Mexico,USA,1997,1,26,22,3.6,0.7,0.4,-0.3,1.40%,6.60%,17.40%,53.00%,7.40%,2005
Charlie Bell,MIL,27,6-3,200,Michigan State,USA,Undrafted,Undrafted,Undrafted,59,8.4,2,2.2,1.1,1.70%,8.30%,17.30%,55.00%,16.50%,2005
Charlie Villanueva,TOR,21,6-11,240,Connecticut,USA,2005,1,7,81,13,6.4,1.1,-0.7,8.00%,15.90%,21.30%,52.10%,6.30%,2005
Chauncey Billups,DET,29,6-3,202,Colorado,USA,1997,1,3,81,18.5,3.1,8.6,10.8,1.50%,7.70%,22.50%,60.20%,39.20%,2005
Chris Andersen,NOK,27,6-10,228,Blinn J.C.,USA,Undrafted,Undrafted,Undrafted,32,5,4.8,0.2,1.3,10.70%,18.60%,13.70%,56.20%,1.80%,2005
Chris Bosh,TOR,22,6-10,230,Georgia Tech,USA,2003,1,4,70,22.5,9.2,2.6,-1,7.90%,18.40%,25.20%,58.50%,11.70%,2005
Chris Duhon,CHI,23,6-1,185,Duke,USA,2004,2,38,74,8.7,3,5,-1.2,1.30%,9.10%,14.90%,53.80%,26.90%,2005
Chris Kaman,LAC,24,7-0,265,Central Michigan,USA,2003,1,6,78,11.9,9.6,1,3.9,8.00%,21.50%,18.00%,57.00%,5.00%,2005
Chris Mihm,LAL,26,7-0,265,Texas,USA,2000,1,7,59,10.2,6.3,1,2.3,9.30%,15.70%,18.40%,55.20%,6.30%,2005
Chris Paul,NOK,21,6-0,175,Wake Forest,USA,2005,1,4,78,16.1,5.1,7.8,-3.2,2.20%,13.10%,21.60%,54.60%,37.80%,2005
